symbol,date,bookValue,marketCap,dividendYield,peRatio,pbRatio,currentRatio,quickRatio,stockPrice,eps,increasePercent
DOCU,2020-07-31,16812000,40083627460,,-620.8740313,79.86520472,1.133465958,1.07206588,216.83,-0.34923,106.9976134
DOCU,2020-04-30,276953000,19166945500,,-400.9485712,36.66294081,1.429903096,1.359375814,104.75,-0.26126,33.42249395
DOCU,2020-01-31,294945000,14203008570,,-299.5972867,25.99726642,1.360140641,1.306240228,78.51,-0.26205,18.61308355
DOCU,2019-10-31,313579000,11802603660,,-253.2856273,20.72952473,1.477313278,1.412354247,66.19,-0.26133,27.97757154
DOCU,2019-07-31,306182000,9071119080,,-132.1704027,16.0075088,1.64328946,1.575293173,51.72,-0.39131,-8.734780307
DOCU,2019-04-30,333417000,9752963670,,-213.3100842,16.31798125,1.764473113,1.688875197,56.67,-0.26567,14.60060667
DOCU,2019-01-31,344934000,8288957350,,-125.1276697,13.49197598,1.906829772,1.848061157,49.45,-0.3952,17.90653314
DOCU,2018-10-31,536475000,7034847840,,-133.2029584,8.683185656,2.911657111,2.845599536,41.94,-0.31486,-22.18923933
DOCU,2018-07-31,698000000,9524345600,,-259.4199924,12.81014876,2.484856263,2.415041068,53.9,-0.35894,39.52886358
DOCU,2018-04-30,166800000,6826075520,,-25.21759641,31.88265072,1.146758621,1.063724138,38.63,-7.44988,0
ZM,2020-07-31,1174472000,75452482132,,405.6824981,62.93937843,1.733905786,1.380589687,253.91,0.62588,87.84493601
ZM,2020-04-30,901631000,39900151043,,1473.689789,44.25330434,1.724783502,1.318411613,135.17,0.09172,77.1559633
ZM,2020-01-31,833943000,18270288316,,1191.100353,21.90831785,3.281676302,2.922532427,76.3,0.06406,9.171555301
ZM,2019-10-31,772517000,20461773577,,9254.533504,26.4871499,3.207644358,2.854504205,69.89,0.00755,-26.82441629
ZM,2019-07-31,743796000,25514718094,,3290.099045,34.3033817,4.000327517,3.715995039,95.51,0.02903,31.79246585
ZM,2019-04-30,719728000,16810998520,,7593.043595,23.35743297,4.455908448,4.197351164,72.47,0.00954,0
DXCM,2020-09-30,1480300000,38337391023,,532.4637642,25.57019344,6.392377567,5.871840442,412.230011,1.48,1.68475851
DXCM,2020-06-30,1335200000,39323800000,,849.3261339,29.04483344,7.580604849,7.011497126,405.4,0.47732,50.55520481
DXCM,2020-03-31,915900000,25338307000,,1273.281759,27.1142932,5.82176196,5.283547258,269.27,0.21148,23.10048459
DXCM,2019-12-31,864000000,20255324000,,218.5040345,22.94960798,5.467518046,5.051637979,218.74,1.00108,46.56928437
DXCM,2019-09-30,745900000,13804700000,,301.4126638,18.06188669,5.631823821,5.163771712,149.24,0.49514,-1.446212772
DXCM,2019-06-30,669600000,13795273000,,-1313.835524,20.04252942,6.052047189,5.533657183,151.43,-0.11526,31.48389338
DXCM,2019-03-31,650000000,10399851000,,-386.6115613,15.55466796,7.182667799,6.638487681,115.17,-0.2979,-3.864774624
DXCM,2018-12-31,644600000,10638240000,,-59.2,16.03835369,7.641636691,7.24955036,119.8,-2.02365,-10.4432982
DXCM,2018-09-30,543800000,12079431000,,259.2152575,21.4860032,4.714285714,4.324394018,133.77,0.51606,40.84017688
DXCM,2018-06-30,470200000,8329746000,,275.819404,17.27804605,4.894613583,4.4970726,94.98,0.34009,27.43861532
DXCM,2018-03-31,409400000,6536281000,,-272.3450417,15.49983638,5.829736211,5.258193445,74.53,-0.27491,28.52215899
DXCM,2017-12-31,407300000,5085723000,,-508.5723,12.12618741,5.361411087,4.916486681,57.99,-0.11587,18.5162477
DXCM,2017-09-30,372000000,4291161000,,-2145.5805,11.17489844,5.862098139,5.383248731,48.93,-0.02323,-33.11004785
DXCM,2017-06-30,341800000,6276270000,,2164.231034,17.74461408,6.249286394,5.692673644,73.15,0.0338,-13.66694205
DXCM,2017-03-31,266400000,7269834000,,-177.3130244,26.16930886,1.924868957,1.555037857,84.73,-0.48122,41.92629816
DXCM,2016-12-31,272300000,5122260000,,-731.7514286,18.04883721,2.734375,2.201171875,59.7,-0.08373,-31.89596167
DXCM,2016-09-30,248400000,7521228000,,-395.8541053,28.72890756,3.003484321,2.370499419,87.66,-0.22809,10.5004412
DXCM,2016-06-30,232800000,6806514000,,-340.3257,27.62383929,3.261163735,2.562922869,79.33,-0.24155,16.81637461
DXCM,2016-03-31,225500000,5575411000,,-293.4426842,24.11509948,3.547581903,2.711388456,67.91,-0.22947,-17.08180708
DXCM,2015-12-31,215300000,6723990000,,4482.66,30.39778481,3.457399103,2.829596413,81.9,0.0188,-4.612159329
DXCM,2015-09-30,187200000,6800112000,,-158.1421395,35.17905846,3.464285714,2.87585034,85.86,-0.54293,7.351837959
