symbol,bookValue,marketCap,peRatio,pbRatio,currentRatio,quickRatio,stockPrice,eps,day,month,year,increase,decrease,none
DOCU,276953000.0,19166945500.0,-400.9485712,36.66294081,1.4299030959999999,1.359375814,104.75,-0.26126,30,4,2020,1,0,0
DOCU,294945000.0,14203008570.0,-299.5972867,25.99726642,1.3601406409999999,1.306240228,78.51,-0.26205,31,1,2020,1,0,0
DOCU,313579000.0,11802603660.0,-253.28562730000002,20.72952473,1.4773132780000002,1.412354247,66.19,-0.26133,31,10,2019,1,0,0
DOCU,306182000.0,9071119080.0,-132.1704027,16.0075088,1.64328946,1.5752931730000002,51.72,-0.39131,31,7,2019,1,0,0
DOCU,333417000.0,9752963670.0,-213.31008419999998,16.31798125,1.7644731130000002,1.6888751969999998,56.67,-0.26566999999999996,30,4,2019,0,0,1
DOCU,344934000.0,8288957350.0,-125.1276697,13.49197598,1.9068297719999998,1.8480611569999998,49.45,-0.3952,31,1,2019,1,0,0
DOCU,536475000.0,7034847840.0,-133.2029584,8.683185656000001,2.9116571110000002,2.8455995360000004,41.94,-0.31486,31,10,2018,1,0,0
DOCU,698000000.0,9524345600.0,-259.4199924,12.81014876,2.484856263,2.4150410680000003,53.9,-0.35894000000000004,31,7,2018,0,1,0
DOCU,166800000.0,6826075520.0,-25.21759641,31.88265072,1.146758621,1.063724138,38.63,-7.44988,30,4,2018,1,0,0
ZM,901631000.0,39900151043.0,1473.689789,44.25330434,1.724783502,1.3184116129999999,135.17,0.09172000000000001,30,4,2020,1,0,0
ZM,833943000.0,18270288316.0,1191.100353,21.90831785,3.2816763019999997,2.9225324269999997,76.3,0.06406,31,1,2020,1,0,0
ZM,772517000.0,20461773577.0,9254.533504,26.487149900000002,3.207644358,2.854504205,69.89,0.00755,31,10,2019,0,0,1
ZM,743796000.0,25514718094.0,3290.099045,34.3033817,4.000327517,3.7159950389999996,95.51,0.02903,31,7,2019,0,1,0
ZM,719728000.0,16810998520.0,7593.043595,23.35743297,4.455908448,4.197351164,72.47,0.00954,30,4,2019,1,0,0
DXCM,1335200000.0,39323800000.0,849.3261339,29.04483344,7.580604849,7.011497126,405.4,0.47731999999999997,30,6,2020,0,0,1
DXCM,915900000.0,25338307000.0,1273.281759,27.1142932,5.82176196,5.2835472580000005,269.27,0.21148000000000003,31,3,2020,1,0,0
DXCM,864000000.0,20255324000.0,218.50403450000002,22.94960798,5.467518046,5.051637979,218.74,1.00108,31,12,2019,1,0,0
DXCM,745900000.0,13804700000.0,301.4126638,18.06188669,5.631823821,5.163771712,149.24,0.49513999999999997,30,9,2019,1,0,0
DXCM,669600000.0,13795273000.0,-1313.835524,20.04252942,6.052047189,5.533657183,151.43,-0.11525999999999999,30,6,2019,0,0,1
DXCM,650000000.0,10399851000.0,-386.6115613,15.55466796,7.182667799,6.638487681,115.17,-0.2979,31,3,2019,1,0,0
DXCM,644600000.0,10638240000.0,-59.2,16.03835369,7.641636691,7.24955036,119.8,-2.02365,31,12,2018,0,0,1
DXCM,543800000.0,12079431000.0,259.2152575,21.4860032,4.714285714,4.3243940180000005,133.77,0.5160600000000001,30,9,2018,0,1,0
DXCM,470200000.0,8329746000.0,275.819404,17.27804605,4.894613583,4.497072599999999,94.98,0.34009,30,6,2018,1,0,0
DXCM,409400000.0,6536281000.0,-272.34504169999997,15.49983638,5.829736211,5.258193445,74.53,-0.27491,31,3,2018,1,0,0
DXCM,407300000.0,5085723000.0,-508.5723,12.12618741,5.361411087,4.916486681,57.99,-0.11587,31,12,2017,1,0,0
DXCM,372000000.0,4291161000.0,-2145.5805,11.17489844,5.8620981389999995,5.383248731,48.93,-0.02323,30,9,2017,1,0,0
DXCM,341800000.0,6276270000.0,2164.231034,17.74461408,6.249286393999999,5.692673644,73.15,0.0338,30,6,2017,0,1,0
DXCM,266400000.0,7269834000.0,-177.3130244,26.16930886,1.924868957,1.5550378569999999,84.73,-0.48122,31,3,2017,0,1,0
DXCM,272300000.0,5122260000.0,-731.7514286,18.04883721,2.734375,2.201171875,59.7,-0.08373,31,12,2016,1,0,0
DXCM,248400000.0,7521228000.0,-395.8541053,28.72890756,3.003484321,2.370499419,87.66,-0.22809000000000001,30,9,2016,0,1,0
DXCM,232800000.0,6806514000.0,-340.3257,27.62383929,3.261163735,2.562922869,79.33,-0.24155,30,6,2016,1,0,0
DXCM,225500000.0,5575411000.0,-293.4426842,24.11509948,3.547581903,2.7113884560000003,67.91,-0.22946999999999998,31,3,2016,1,0,0
DXCM,215300000.0,6723990000.0,4482.66,30.39778481,3.457399103,2.829596413,81.9,0.0188,31,12,2015,0,1,0
DXCM,187200000.0,6800112000.0,-158.1421395,35.17905846,3.464285714,2.87585034,85.86,-0.54293,30,9,2015,0,0,1
DXCM,164500000.0,6294426000.0,-1573.6065,36.87420035,3.85520362,3.235294118,79.98,-0.05083,30,6,2015,0,0,1
DXCM,142800000.0,4850052000.0,-404.171,32.63830417,3.9513513510000005,3.3513513510000004,62.34,-0.15248,31,3,2015,1,0,0
